0.100000, 200, 0, 200
0.200000, 200, 0, 200
0.300000, 200, 0, 200
0.400000, 200, 0, 200
0.500000, 200, 0, 200
0.600000, 200, 0, 200
0.700000, 200, 0, 200
0.800000, 200, 0, 200
0.900000, 200, 0, 200
1.000000, 200, 0, 200
1.100000, 200, 0, 200
1.200000, 200, 0, 200
1.300000, 200, 0, 200
1.400000, 200, 0, 200
1.500000, 200, 0, 200
1.600000, 200, 0, 200
1.700000, 195, 5, 200
1.800000, 196, 4, 200
1.900000, 194, 6, 200
2.000000, 187, 13, 200
2.100000, 178, 22, 200
2.200000, 170, 30, 200
2.300000, 144, 56, 200
2.400000, 131, 69, 200
2.500000, 108, 92, 200
2.600000, 95, 105, 200
2.700000, 67, 133, 200
2.800000, 65, 135, 200
2.900000, 36, 164, 200
3.000000, 33, 167, 200
3.100000, 20, 180, 200
3.200000, 19, 181, 200
3.300000, 9, 191, 200
3.400000, 4, 196, 200
3.500000, 1, 199, 200
3.600000, 1, 199, 200
3.700000, 0, 200, 200
3.800000, 0, 200, 200
3.900000, 0, 200, 200
4.000000, 0, 200, 200
