1
0.050000, 0.214074, 0.264074
0.100000, 0.428148, 0.528148
0.150005, 0.642244, 0.792249
0.200000, 0.856296, 1.056296
0.250000, 1.070370, 1.320370
0.300020, 1.284530, 1.584550
0.350004, 1.498535, 1.848539
0.400000, 1.712593, 2.112593
0.450000, 1.926667, 2.376667
0.500000, 2.140741, 2.640741
0.550055, 2.355050, 2.905105
0.600080, 2.569232, 3.169312
0.650007, 2.782994, 3.433001
0.700062, 2.997303, 3.697366
0.750000, 3.211111, 3.961111
0.800000, 3.425185, 4.225185
0.850019, 3.639340, 4.489359
0.900000, 3.853333, 4.753333
0.950169, 4.068130, 5.018300
2
0.050000, 0.113333, 0.163333
0.100000, 0.226667, 0.326667
0.150002, 0.340004, 0.490006
0.200000, 0.453333, 0.653333
0.250000, 0.566667, 0.816667
0.300004, 0.680008, 0.980012
0.350010, 0.793357, 1.143367
0.400000, 0.906667, 1.306667
0.450021, 1.020048, 1.470069
0.500000, 1.133333, 1.633333
0.550019, 1.246711, 1.796730
0.600028, 1.360064, 1.960092
0.650046, 1.473437, 2.123483
0.700049, 1.586779, 2.286828
0.750022, 1.700050, 2.450072
0.800000, 1.813333, 2.613333
0.850085, 1.926859, 2.776944
0.900042, 2.040096, 2.940138
0.950039, 2.153422, 3.103461
3
0.050000, 0.077067, 0.127067
0.100000, 0.154133, 0.254133
0.150001, 0.231201, 0.381202
0.200000, 0.308267, 0.508267
0.250000, 0.385333, 0.635333
0.300005, 0.462407, 0.762412
0.350003, 0.539471, 0.889474
0.400000, 0.616533, 1.016533
0.450013, 0.693619, 1.143632
0.500000, 0.770667, 1.270667
0.550007, 0.847744, 1.397750
0.600010, 0.924815, 1.524824
0.650026, 1.001907, 1.651933
0.700006, 1.078942, 1.778948
0.750030, 1.156046, 1.906076
0.800000, 1.233067, 2.033067
0.850051, 1.310212, 2.160263
0.900058, 1.387289, 2.287346
0.950065, 1.464366, 2.414431
4
0.050000, 0.058384, 0.108384
0.100000, 0.116768, 0.216768
0.150001, 0.175153, 0.325154
0.200000, 0.233535, 0.433535
0.250000, 0.291919, 0.541919
0.300005, 0.350309, 0.650315
0.350006, 0.408694, 0.758701
0.400000, 0.467071, 0.867071
0.450008, 0.525464, 0.975472
0.500000, 0.583838, 1.083838
0.550018, 0.642244, 1.192262
0.600022, 0.700632, 1.300653
0.650016, 0.759008, 1.409024
0.700013, 0.817389, 1.517401
0.750000, 0.875758, 1.625758
0.800000, 0.934141, 1.734141
0.850033, 0.992564, 1.842598
0.900016, 1.050928, 1.950945
0.950023, 1.109320, 2.059343
5
0.050000, 0.046992, 0.096992
0.100000, 0.093984, 0.193984
0.150001, 0.140976, 0.290977
0.200000, 0.187967, 0.387967
0.250000, 0.234959, 0.484959
