W : 8.240222, 8.321495, 8.295084 R : 9.758624, 9.838674, 9.813151
W : 9.293867, 9.421277, 9.367071 R : 10.891534, 11.028336, 10.966733
W : 10.654778, 10.822344, 10.744652 R : 12.375147, 12.539754, 12.462756
W : 11.786762, 12.632011, 12.178245 R : 14.135695, 14.688127, 14.410137
W : 14.914391, 15.445144, 15.180992 R : 16.929300, 17.441656, 17.183836
W : 18.267441, 19.429211, 18.836609 R : 21.027571, 22.269783, 21.661499
W : 24.985687, 27.911896, 26.014803 R : 28.666344, 31.779449, 29.771656
W : 37.913685, 46.790970, 41.410824 R : 41.363819, 53.926723, 46.347610
W : 84.854721, 169.172424, 112.901764 R : 93.369263, 184.766891, 123.591003
W : 8.738605, 9.941576, 9.289829 R : 8.137777, 9.072601, 8.587630
W : 9.581545, 10.954432, 10.220407 R : 8.973726, 10.676147, 9.756227
W : 9.251568, 12.514189, 11.033131 R : 9.328084, 12.047806, 10.723825
W : 11.044626, 16.156712, 13.255633 R : 10.875270, 15.165480, 12.717823
W : 13.846609, 20.726103, 17.043499 R : 13.316869, 18.738020, 16.068619
W : 16.666624, 29.661987, 21.730976 R : 16.728432, 30.492975, 21.393694
W : 21.199629, 54.361523, 30.526230 R : 20.453697, 54.093342, 30.542183
W : 7.083251, 261.498169, 68.363770 R : 6.569485, 257.615997, 67.734978
W : 6.061333, 898.943542, 96.995544 R : 5.600908, 879.444458, 96.546280
W : 5.608537, 10.173328, 8.109982 R : 5.210862, 9.118150, 7.288527
W : 6.576966, 11.042784, 8.946888 R : 6.067953, 9.536674, 7.933687
W : 7.410195, 14.149904, 10.529433 R : 6.713900, 12.885445, 9.430907
W : 4.740778, 17.426708, 12.054588 R : 4.086405, 15.845894, 10.981518
W : 3.414112, 26.766294, 14.258892 R : 2.963257, 26.008057, 13.123867
W : 3.408866, 41.930893, 15.942182 R : 2.930072, 40.149685, 14.967408
W : 3.587741, 118.975960, 13.739208 R : 3.052213, 106.478745, 12.652774
W : 2.189846, 109.539528, 8.156512 R : 1.742720, 98.093025, 7.338266
W : 2.687322, 7.564815, 4.924360 R : 2.121672, 6.396274, 4.223041
W : 2.574797, 8.080151, 5.010240 R : 2.472697, 6.886874, 4.382090
W : 2.741973, 9.584958, 5.181954 R : 2.502373, 8.387755, 4.619473
W : 2.031157, 11.465959, 5.430910 R : 1.874775, 9.956066, 4.916140
W : 1.900109, 15.575274, 5.276119 R : 1.566466, 13.962111, 4.892975
W : 1.579355, 16.837513, 5.136878 R : 1.553896, 17.636364, 4.806962
W : 1.000000, 16.709337, 4.195703 R : 1.000000, 15.054592, 3.992480
W : 1.000000, 11.364779, 3.132956 R : 1.000000, 10.346756, 3.043139
W : 1.000000, 6.559890, 2.556693 R : 1.000000, 7.118632, 2.534902
W : 1.000000, 5.709414, 2.362018 R : 1.000000, 5.557940, 2.344051
W : 1.000000, 2.518349, 1.481737 R : 1.000000, 2.422200, 1.492254
W : 1.000000, 1.000000, 1.000000 R : 1.000000, 1.000000, 1.000000
W : 1.000000, 1.738938, 1.369469 R : 1.000000, 1.814692, 1.407346
W : 1.000000, 1.000000, 1.000000 R : 1.000000, 1.000000, 1.000000
